state_abbr,industrial_cents_kwh,notes
AL,10.47,approximate 2023 annual industrial average — replace via EIA API when available
AK,19.82,
AZ,9.12,
AR,8.91,
CA,17.65,
CO,9.03,
CT,11.41,
DE,9.88,
DC,12.15,
FL,9.76,
GA,9.18,
HI,27.54,
ID,6.98,
IL,9.05,
IN,8.12,
IA,7.04,
KS,7.95,
KY,7.61,
LA,7.48,
ME,8.67,
MD,8.73,
MA,14.22,
MI,8.44,
MN,8.09,
MS,8.55,
MO,7.98,
MT,8.11,
NE,7.42,
NV,8.63,
NH,8.77,
NJ,14.05,
NM,7.89,
NY,8.62,
NC,8.08,
ND,7.91,
OH,8.33,
OK,6.95,
OR,8.41,
PA,8.58,
RI,8.49,
SC,8.36,
SD,7.88,
TN,8.02,
TX,7.43,
UT,7.96,
VT,8.71,
VA,8.19,
WA,8.52,
WV,8.01,
WI,8.47,
WY,7.84,
